% Input-file of boundary-elements for Dirichlet-boundary mesh shown  
% in Fig. 6 of the paper "Remarks around 50 lines of Matlab: 
% Short finite element implementation" by J. Alberty, C. Carstensen 
% and S. A. Funken.
%
% boundary-element  /  1-node  /  2-node  /  3-node  
 476   52   49   67
 477   48   19   49
 478   75   77   19
 479   49   19   77
 480   75   76   77
 481   45   46   76
 482   77   76   46
 483 1638  424 1288
 484   45   76  424
 485 1288  424   76
 486   45  424 1561
 487 1638 1533  424
 488 1561  424 1533
 489 2407 1737 2456
 490 1638 1806 1737
 491 2456 1737 1806
 492 2448 2449 2450
 493 2128 3187 2449
 494 2450 2449 3187
 495 2128 2449 2456
 496 2448 2166 2449
 497 2456 2449 2166
 498 3186 3452 2450
 499 1259 3549 3452
 500 2450 3452 3549
 501 2785 2786 3251
 502 1259 3452 2786
 503 3251 2786 3452
 504  666 2455  667
 505 2785 3294 2455
 506  667 2455 3294
 507  998 3451 3606
 508    5 3322 3451
 509 3606 3451 3322
 510    5 3451  667
 511  998  668 3451
 512  667 3451  668
 513 1638 1737 1533
 514 2407 1844 1737
 515 1533 1737 1844
 516 2785 2455 2786
 517  666 1068 2455
 518 2786 2455 1068
 519   66  477   67
 520  475  476  477
 521   67  477  476
 522   36  468  859
 523  475 2907  468
 524  859  468 2907
 525 3560 1732 1437
 526  267 1439 1732
 527 1437 1732 1439
 528 1598 1600 2647
 529 1436 1439 1600
 530 2647 1600 1439
 531  254  166 2661
 532  164  180  166
 533 2661  166  180
 534  210  126  212
 535  124 2507  126
 536  212  126 2507
 537  124  165 2507
 538  164  166  165
 539 2507  165  166
 540 3356 3357 3570
 541  210 3580 3357
 542 3570 3357 3580
 543 1479 1482 3703
 544  238 3316 1482
 545 3703 1482 3316
 546  267 1732 1874
 547 3560 3713 1732
 548 1874 1732 3713
 549  210 3357  126
 550 3356  125 3357
 551  126 3357  125
 552  238 1482 3570
 553 1479 1480 1482
 554 3570 1482 1480
 555 1436 1600 3583
 556 1598  174 1600
 557 3583 1600  174
 558 1598 2927  174
 559 2926 2593 2927
 560  174 2927 2593
 561 2926  180 2593
 562  164 2592  180
 563 2593  180 2592
 564 2699 2698 2700
 565 3179 3702 2698
 566 2700 2698 3702
 567 3179  239 3383
 568  238  240  239
 569 3383  239  240
 570  238 3580  240
 571  210 3384 3580
 572  240 3580 3384
 573  210  211 3384
 574  250  252  211
 575 3384  211  252
 576  250  211  255
 577  210  212  211
 578  255  211  212
 579  250  255 3385
 580  254  256  255
 581 3385  255  256
 582 2657 2658 3175
 583 1598 1809 2658
 584 3175 2658 1809
 585  267  200 2647
 586  197 1809  200
 587 2647  200 1809
 588  197  200 3075
 589  267  268  200
