%COORDINATES.DAT  data file for vertices.
% Input-file of vertices for mesh shown in Fig. 7 of the paper 
% "Matlab-Implementation of the Finite Element Method in Elasticity" by
% J. Alberty, C. Carstensen, S. A. Funken, and R. Klose.
%
% x-coordinate   / y-coordinate
% 
 1.25000000   2.00000000
 2.50000000   2.25000000
 2.25000000   2.50000000
 2.00000000   2.25000000
 3.00000000   2.25000000
 2.75000000   2.50000000
 3.00000000   2.75000000
 2.75000000   3.00000000
 2.50000000   2.75000000
 2.25000000   3.00000000
 2.00000000   2.75000000
 1.50000000   2.25000000
 1.25000000   2.50000000
 1.00000000   2.25000000
 1.75000000   2.50000000
 1.75000000   3.00000000
 1.50000000   2.75000000
 1.25000000   3.00000000
 1.00000000   2.75000000
 0.50000000   2.25000000
 0.25000000   2.50000000
 0.00000000   2.25000000
 0.75000000   2.50000000
 0.75000000   3.00000000
 0.50000000   2.75000000
 0.25000000   3.00000000
 0.00000000   2.75000000
 2.25000000   0.25000000
 2.75000000   0.25000000
 2.75000000   0.75000000
 2.25000000   0.75000000
 2.25000000   1.25000000
 2.75000000   1.25000000
 2.75000000   1.75000000
 2.25000000   1.75000000
 1.24925510   1.24925510
 1.75000000   1.25000000
 1.75000000   1.75000000
 1.25000000   1.75000000
 2.25000000   2.25000000
 2.75000000   2.25000000
 2.75000000   2.75000000
 2.25000000   2.75000000
 1.25000000   2.25000000
 1.75000000   2.25000000
 1.75000000   2.75000000
 1.25000000   2.75000000
 0.25000000   2.25000000
 0.75000000   2.25000000
 0.75000000   2.75000000
 0.25000000   2.75000000
 1.77875000   0.37500000
 1.77875000   0.25000000
 1.85250000   0.37500000
 1.77875000   0.12500000
 1.70500000   0.12500000
 1.92625000   0.37500000
 1.92625000   0.50000000
 1.77875000   0.50000000
 1.70500000   0.37500000
 1.92625000   0.62500000
 1.92625000   0.75000000
 1.85250000   0.62500000
 1.92625000   0.87500000
 2.00000000   0.87500000
 1.77875000   0.62500000
 2.00000000   0.62500000
 1.63125000   0.12500000
 1.63125000   0.25000000
 1.55750000   0.12500000
 1.63125000   0.37500000
 1.48375000   0.12500000
 1.48375000   0.00000000
 1.63125000   0.00000000
 1.92625000   0.12500000
 1.92625000   0.25000000
 1.85250000   0.12500000
 2.00000000   0.37500000
 1.77875000   0.00000000
 1.92625000   0.00000000
 2.00000000   0.12500000
 1.45241820   0.64519428
 1.55308410   0.63509714
 1.50183410   0.76009714
 1.65375000   0.62500000
 1.60433410   0.51009714
 1.55125000   0.87500000
 1.45058410   0.88509714
 1.35175230   0.65529142
 1.40300230   0.53029142
 1.53058410   0.38509714
 1.44324520   0.39784946
 1.47016110   0.26275232
 1.40318910   0.13842096
 1.34909600   0.40992673
 1.67625000   0.87500000
 1.72750000   0.75000000
 1.80125000   0.87500000
 1.87500000   1.00000000
 1.62500000   1.00000000
 1.32483930   0.88435228
 1.21032020   0.89111326
 1.28664910   0.77695526
 1.08980650   0.89466291
 1.12276540   0.99776542
 1.24320080   0.66524568
 1.37425510   0.99925514
 0.64519428   1.45241820
 0.76009714   1.50183410
 0.63509714   1.55308410
 0.87500000   1.55125000
 0.88509714   1.45058410
 0.62500000   1.65375000
 0.51009714   1.60433410
 0.53029142   1.40300230
 0.65529142   1.35175230
 0.87500000   1.67625000
 0.87500000   1.80125000
 0.75000000   1.72750000
 0.87500000   1.92625000
 1.00000000   1.87500000
 0.62500000   1.77875000
 1.00000000   1.62500000
 0.38509714   1.53058410
 0.26275232   1.47016110
 0.39784946   1.44324520
 0.37500000   1.63125000
 0.12500000   1.48375000
 0.13842096   1.40318910
 0.40992673   1.34909600
 0.88435228   1.32483930
 0.77695526   1.28664910
 0.89111326   1.21032020
 0.66524568   1.24320080
 0.89466291   1.08980650
 0.99776542   1.12276540
 0.99925514   1.37425510
 0.37500000   1.77875000
 0.37500000   1.85250000
 0.25000000   1.77875000
 0.37500000   1.92625000
 0.50000000   1.92625000
 0.12500000   1.77875000
 0.12500000   1.70500000
 0.37500000   1.70500000
 0.50000000   1.77875000
 0.12500000   1.63125000
 0.12500000   1.55750000
 0.25000000   1.63125000
 0.00000000   1.48375000
 0.00000000   1.63125000
 0.62500000   1.92625000
 0.62500000   1.85250000
 0.75000000   1.92625000
 0.87500000   2.00000000
 0.62500000   2.00000000
 0.12500000   1.92625000
 0.12500000   1.85250000
 0.25000000   1.92625000
 0.00000000   1.77875000
 0.37500000   2.00000000
 0.12500000   2.00000000
 0.00000000   1.92625000
 2.12500000   0.00000000
 2.25000000   0.12500000
 2.12500000   0.25000000
 2.37500000   0.00000000
 2.50000000   0.12500000
 2.37500000   0.25000000
 2.50000000   0.37500000
 2.37500000   0.50000000
 2.25000000   0.37500000
 2.12500000   0.50000000
 2.62500000   0.00000000
 2.75000000   0.12500000
 2.62500000   0.25000000
 2.87500000   0.00000000
 3.00000000   0.12500000
 2.87500000   0.25000000
 3.00000000   0.37500000
 2.87500000   0.50000000
 2.75000000   0.37500000
 2.62500000   0.50000000
 2.75000000   0.62500000
 2.62500000   0.75000000
 2.50000000   0.62500000
 3.00000000   0.62500000
 2.87500000   0.75000000
 3.00000000   0.87500000
 2.87500000   1.00000000
 2.75000000   0.87500000
 2.62500000   1.00000000
 2.50000000   0.87500000
 2.25000000   0.62500000
 2.12500000   0.75000000
 2.37500000   0.75000000
 2.37500000   1.00000000
 2.25000000   0.87500000
 2.12500000   1.00000000
 2.25000000   1.12500000
 2.12500000   1.25000000
 2.00000000   1.12500000
 2.50000000   1.12500000
 2.37500000   1.25000000
 2.50000000   1.37500000
 2.37500000   1.50000000
 2.25000000   1.37500000
 2.12500000   1.50000000
